City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,Formosa,-26.1775,-58.1781,22.99,53,0,5.14,AR,2023-04-01
273,Zhangye,38.9342,100.4517,3.13,31,100,2.49,CN,2023-04-01
274,Kavieng,-2.5744,150.7967,28.59,71,100,2.38,PG,2023-04-01
275,Khuzhir,53.1939,107.3397,-9.65,59,35,3.78,RU,2023-04-01
276,Kahului,20.8947,-156.47,28.01,62,20,7.2,US,2023-04-01
277,Chabahar,25.2919,60.643,24.4,72,0,4.21,IR,2023-04-01
278,Mae Chan,20.1467,99.8526,30.93,29,65,0.41,TH,2023-04-01
279,Pimentel,-6.8367,-79.9342,27.16,83,100,5.66,PE,2023-04-01
280,Tiarei,-17.5333,-149.3333,33.01,75,8,5.2,PF,2023-04-01
281,Pevek,69.7008,170.3133,-23.48,91,100,3.55,RU,2023-04-01
282,Nogliki,51.8333,143.1667,2.61,93,25,3.2,RU,2023-04-01
283,Rochegda,62.8,43.25,-3.8,98,100,1.08,RU,2023-04-01
284,Kavaratti,10.5669,72.642,27.08,69,9,3.17,IN,2023-04-01
285,Pemangkat,1.1667,108.9667,26.91,75,100,2.0,ID,2023-04-01
286,Balaipungut,1.05,101.2833,23.6,95,100,1.11,ID,2023-04-01
287,Killybegs,54.6333,-8.45,7.37,80,50,3.23,IE,2023-04-01
288,Hami,42.8,93.45,1.52,23,100,3.52,CN,2023-04-01
289,Edd,13.9297,41.6925,25.42,77,100,5.31,ER,2023-04-01
290,Artyom,40.4723,50.333,5.08,88,100,4.86,AZ,2023-04-01
291,Mathbaria,22.2876,89.9593,22.88,84,6,0.43,BD,2023-04-01
292,Kandla,23.0333,70.2167,23.81,69,7,3.68,IN,2023-04-01
293,Goundam,16.4145,-3.6708,25.63,7,9,4.67,ML,2023-04-01
294,Isla Aguada,18.7833,-91.4667,28.02,79,91,9.12,MX,2023-04-01
295,Watsa,3.0372,29.5355,17.21,80,95,1.34,CD,2023-04-01
296,Canakkale,40.0833,26.8333,12.32,88,100,2.77,TR,2023-04-01
297,Namibe,-15.1961,12.1522,24.16,81,100,2.45,AO,2023-04-01
298,Cabedelo,-6.9811,-34.8339,26.37,81,97,3.84,BR,2023-04-01
299,Ust-Ishim,57.6935,71.1665,-1.94,71,46,4.63,RU,2023-04-01
300,Coihaique,-45.5752,-72.0662,9.34,71,0,1.54,CL,2023-04-01
301,Chiredzi,-21.05,31.6667,18.41,93,0,0.97,ZW,2023-04-01
302,Plettenberg Bay,-34.0527,23.3716,17.2,60,0,1.18,ZA,2023-04-01
303,Samoded,63.6083,40.5111,-10.74,98,100,1.36,RU,2023-04-01
304,Arlit,18.7369,7.3853,21.81,6,38,4.31,NE,2023-04-01
305,Baherden,38.4362,57.4316,9.71,58,21,2.26,TM,2023-04-01
306,Najran,17.4924,44.1277,21.36,40,100,2.0,SA,2023-04-01
307,Thompson,55.7435,-97.8558,-8.91,38,75,4.12,CA,2023-04-01
308,Cockburn Town,21.4612,-71.1419,25.37,74,0,8.82,TC,2023-04-01
309,Kruisfontein,-34.0033,24.7314,14.34,71,0,2.03,ZA,2023-04-01
310,Padang,-0.9492,100.3543,24.03,80,94,1.06,ID,2023-04-01
311,Kirakira,-10.4544,161.9205,29.86,68,100,2.28,SB,2023-04-01
312,Lazaro Cardenas,17.9583,-102.2,26.29,59,85,3.34,MX,2023-04-01
313,Solwezi,-12.1688,26.3894,15.29,97,99,1.03,ZM,2023-04-01
314,Port Maria,18.3685,-76.8895,27.98,91,4,3.28,JM,2023-04-01
315,La Asuncion,11.0333,-63.8628,25.85,83,100,7.2,VE,2023-04-01
316,Sidi Ali,36.0998,0.4206,14.63,81,4,5.92,DZ,2023-04-01
317,Shitanjing,39.2342,106.3439,3.5,43,100,6.1,CN,2023-04-01
318,Skara,58.3866,13.4384,-3.43,92,14,0.45,SE,2023-04-01
319,Belle Fourche,44.6714,-103.8522,10.73,73,84,3.8,US,2023-04-01
320,Carnarvon,-24.8667,113.6333,24.95,70,41,5.61,AU,2023-04-01
321,Denpasar,-8.65,115.2167,27.81,88,20,1.03,ID,2023-04-01
322,Shahrud,36.4182,54.9763,2.01,60,0,3.21,IR,2023-04-01
323,Ponta Do Sol,32.6667,-17.1,18.96,45,0,2.84,PT,2023-04-01
324,Cutervo,-6.379,-78.8157,10.7,95,100,1.66,PE,2023-04-01
325,Shellbrook,53.2168,-106.4011,-0.43,95,100,3.39,CA,2023-04-01
326,Niono,14.2526,-5.993,26.94,8,6,4.52,ML,2023-04-01
327,Grand Forks,47.9417,-97.4337,-2.15,74,100,7.2,US,2023-04-01
